QueryNumber;DocVotes;DocNumber
00016;0;586
00016;2;594
00016;0;615
00016;0;616
00016;1;641
00016;1;642
00016;1;643
00016;2;649
00016;0;656
00016;1;657
00016;1;658
00016;2;659
00016;1;660
00016;1;662
00016;0;673
00016;0;676
00016;0;708
00016;0;709
00016;0;711
00016;0;715
00016;1;719
00016;2;722
00016;0;723
00016;0;724
00016;0;725
00016;2;727
00016;0;729
00016;0;730
00016;0;731
00016;0;735
00016;1;755
00016;1;756
00016;0;758
00016;0;762
00016;1;763
00016;0;764
00016;0;767
00016;1;770
00016;2;772
00016;0;783
00016;1;791
00016;0;797
00016;2;799
00016;0;809
00016;0;810
00016;1;816
00016;0;822
00016;2;834
00016;0;835
00016;0;837
00016;0;844
00016;0;867
00016;0;870
00016;2;872
00016;0;875
00016;0;882
00016;0;888
00016;0;889
00016;0;893
00016;0;896
00016;2;901
00016;1;902
00016;0;919
00016;0;928
00016;0;932
00016;1;935
00016;1;937
00016;0;938
00016;0;941
00016;1;943
00016;1;944
00016;0;970
00016;0;974
00016;1;984
00016;0;990
00016;0;991
00016;2;993
00016;0;994
00016;0;1000
00016;1;1002
00016;1;1016
00016;2;1017
00016;0;1023
00016;0;1033
00016;0;1037
00016;0;1051
00016;0;1066
00016;0;1076
00016;0;1080
00016;0;1098
00016;0;1101
00016;0;1115
00016;0;1135
00016;1;1154
00016;0;1158
00016;0;1189
00016;1;1192
00016;2;1226
00016;0;1232
00016;1;1234
00017;2;49
00017;2;89
00017;0;101
00017;0;128
00017;0;132
00017;0;135
00017;0;153
00017;0;189
00017;0;233
00017;0;238
00017;0;297
00017;0;298
00017;0;301
00017;0;330
00017;0;333
00017;1;357
00017;1;359
00017;1;370
00017;0;428
00017;1;443
00017;0;450
00017;0;506
00017;1;643
00017;0;660
00017;2;662
00017;2;688
00017;0;722
00017;0;729
00017;1;730
00017;0;731
00017;0;735
00017;2;791
00017;2;810
00017;0;816
00017;0;837
00017;0;839
00017;0;845
00017;0;882
00017;0;889
00017;0;897
00017;0;937
00017;0;938
00017;1;941
00017;1;944
00017;0;1000
00017;0;1023
00017;0;1040
00017;0;1069
00017;0;1080
00017;0;1088
00017;2;1101
00017;1;1103
00017;0;1115
00017;0;1187
00017;0;1234
00018;2;129
00018;0;153
00018;2;205
00018;0;226
00018;0;364
00018;1;370
00018;0;414
00018;1;424
00018;0;443
00018;0;642
00018;1;656
00018;1;657
00018;1;658
00018;1;660
00018;1;725
00018;0;816
00018;1;935
00018;1;993
00018;0;994
00018;1;1016
00018;1;1162
00019;2;21
00019;0;49
00019;1;359
00019;1;370
00019;0;398
00019;2;432
00019;0;455
00019;2;487
00019;2;506
00019;2;618
00019;2;626
00019;2;672
00019;2;688
00019;2;693
00019;2;897
00019;0;936
00019;0;944
00019;0;1000
00019;2;1049
00019;2;1103
00019;0;1129
00019;0;1205
00020;2;126
00020;0;133
00020;0;153
00020;0;181
00020;2;207
00020;2;208
00020;2;220
00020;1;278
00020;1;283
00020;1;286
00020;1;287
00020;1;288
00020;1;290
00020;1;292
00020;1;370
00020;0;443
00020;2;538
00020;1;539
00020;2;540
00020;1;544
00020;0;604
00020;0;643
00020;1;711
00020;1;715
00020;0;731
00020;2;758
00020;0;767
00020;0;791
00020;2;823
00020;1;824
00020;0;882
00020;0;919
00020;2;924
00020;0;928
00020;0;944
00020;2;962
00020;1;970
00020;2;1066
00020;0;1080
00020;2;1115
00020;2;1168
00020;0;1189
00020;2;1213
00020;2;1215
00020;1;1234
00020;1;1239
00021;2;68
00021;0;97
00021;0;98
00021;0;181
00021;2;251
00021;0;413
00021;0;416
00021;0;434
00021;0;443
00021;0;551
00021;0;615
00021;0;676
00021;2;708
00021;2;709
00021;1;719
00021;0;722
00021;0;751
00021;0;756
00021;0;757
00021;0;932
00021;1;941
00021;0;1098
00021;2;1115
00021;2;1158
00021;0;1189
00022;2;13
00022;0;39
00022;0;67
00022;0;69
00022;0;104
00022;2;130
00022;0;189
00022;0;197
00022;0;221
00022;0;226
00022;1;237
00022;0;247
00022;2;258
00022;2;262
00022;2;276
00022;0;322
00022;0;325
00022;0;333
00022;1;342
00022;1;343
00022;0;350
00022;0;365
00022;1;370
00022;0;392
00022;1;431
00022;0;464
00022;0;465
00022;1;473
00022;1;478
00022;1;503
00022;1;510
00022;1;512
00022;1;514
00022;0;586
00022;1;590
00022;1;654
00022;1;671
00022;0;682
00022;2;692
00022;1;704
00022;0;713
00022;0;729
00022;0;731
00022;0;735
00022;2;764
00022;1;774
00022;1;788
00022;0;843
00022;0;845
00022;1;871
00022;1;880
00022;0;881
00022;0;882
00022;0;888
00022;2;898
00022;1;908
00022;0;942
00022;0;946
00022;0;968
00022;0;1000
00022;0;1033
00022;0;1040
00022;2;1083
00022;0;1093
00022;0;1114
00022;0;1144
00022;1;1156
00022;1;1166
00022;1;1194
00022;0;1195
00023;2;9
00023;2;10
00023;1;11
00023;2;12
00023;2;34
00023;2;42
00023;1;99
00023;0;162
00023;0;163
00023;0;167
00023;0;198
00023;0;248
00023;0;285
00023;1;322
00023;1;350
00023;0;370
00023;2;426
00023;2;434
00023;0;464
00023;2;509
00023;2;541
00023;0;582
00023;0;583
00023;0;598
00023;0;716
00023;0;780
00023;2;859
00023;0;883
00023;0;888
00023;2;979
00023;0;984
00023;1;1096
00023;2;1114
00023;0;1156
00023;0;1163
00024;1;32
00024;0;72
00024;0;199
00024;0;207
00024;2;210
00024;0;240
00024;1;254
00024;0;331
00024;0;370
00024;0;377
00024;0;411
00024;0;477
00024;0;492
00024;0;522
00024;0;552
00024;0;559
00024;1;611
00024;2;647
00024;0;677
00024;0;724
00024;0;763
00024;0;858
00024;2;913
00024;2;915
00024;2;926
00024;0;934
00024;0;1000
00024;1;1031
00024;2;1109
00024;1;1195
00024;0;1232
00025;2;72
00025;1;74
00025;1;83
00025;1;84
00025;1;106
00025;0;112
00025;0;120
00025;0;141
00025;1;162
00025;0;172
00025;1;198
00025;0;221
00025;0;276
00025;1;370
00025;0;390
00025;0;392
00025;1;411
00025;0;415
00025;0;425
00025;2;431
00025;0;432
00025;0;464
00025;1;465
00025;1;503
00025;0;505
00025;0;530
00025;0;550
00025;0;559
00025;0;566
00025;0;568
00025;1;569
00025;0;622
00025;2;647
00025;0;855
00025;1;858
00025;0;875
00025;0;880
00025;0;881
00025;0;891
00025;2;913
00025;0;915
00025;2;926
00025;0;949
00025;0;977
00025;0;1027
00025;0;1031
00025;0;1083
00025;1;1156
00025;1;1194
00025;1;1195
00025;0;1210
00026;1;74
00026;2;104
00026;2;199
00026;0;221
00026;2;281
00026;2;285
00026;1;328
00026;0;333
00026;1;342
00026;1;343
00026;0;370
00026;0;392
00026;2;431
00026;0;434
00026;0;442
00026;0;465
00026;0;485
00026;0;488
00026;0;490
00026;2;610
00026;2;617
00026;1;665
00026;0;713
00026;1;774
00026;2;807
00026;0;855
00026;0;881
00026;1;942
00026;2;1061
00026;2;1144
00026;2;1166
00026;1;1194
00026;0;1195
00027;1;98
00027;0;179
00027;2;599
00027;0;756
00027;0;858
00027;2;905
00027;0;912
00027;1;913
00027;0;1000
00027;0;1083
00027;0;1096
00028;0;134
00028;0;135
00028;0;136
00028;1;215
00028;0;274
00028;0;300
00028;0;322
00028;0;331
00028;0;333
00028;0;343
00028;2;351
00028;2;352
00028;1;370
00028;0;392
00028;0;398
00028;0;465
00028;0;467
00028;2;477
00028;0;510
00028;0;550
00028;0;559
00028;0;586
00028;0;611
00028;0;665
00028;1;722
00028;0;724
00028;0;729
00028;0;735
00028;1;759
00028;0;763
00028;2;822
00028;0;832
00028;0;837
00028;0;875
00028;0;882
00028;0;913
00028;0;937
00028;1;942
00028;0;944
00028;0;969
00028;0;990
00028;1;1000
00028;0;1033
00028;0;1040
00028;1;1083
00028;0;1093
00028;0;1187
00028;0;1192
00028;0;1222
00028;0;1226
00028;0;1234
00029;1;15
00029;0;100
00029;2;215
00029;2;274
00029;2;300
00029;2;322
00029;1;333
00029;0;343
00029;1;350
00029;2;351
00029;2;352
00029;2;353
00029;1;370
00029;0;385
00029;0;392
00029;0;434
00029;0;442
00029;1;477
00029;0;510
00029;0;553
00029;0;687
00029;0;714
00029;1;722
00029;0;724
00029;0;729
00029;2;759
00029;1;763
00029;0;764
00029;0;788
00029;0;822
00029;2;832
00029;0;837
00029;0;875
00029;0;937
00029;1;942
00029;1;944
00029;0;1000
00029;0;1033
00029;1;1040
00029;0;1083
00029;0;1093
00029;0;1184
00029;2;1192
00029;0;1234
00030;0;117
00030;1;328
00030;0;332
00030;2;433
00030;0;492
00030;0;557
00030;2;586
00030;0;687
00030;0;775
00030;2;880
00030;0;881
00030;2;911
00030;1;942
00030;1;1001
00030;0;1084
00030;2;1224
00030;0;1234
00031;2;43
00031;0;69
00031;1;127
00031;0;128
00031;1;136
00031;0;145
00031;1;168
00031;1;189
00031;0;213
00031;2;226
00031;2;239
00031;0;272
00031;1;330
00031;1;331
00031;2;332
00031;0;359
00031;1;370
00031;0;389
00031;2;433
00031;2;448
00031;2;467
00031;0;512
00031;0;550
00031;1;551
00031;2;557
00031;2;586
00031;1;620
00031;1;628
00031;2;651
00031;1;701
00031;1;722
00031;0;724
00031;1;729
00031;0;735
00031;2;760
00031;0;762
00031;0;764
00031;2;839
00031;2;845
00031;1;882
00031;1;937
00031;2;938
00031;1;940
00031;1;942
00031;0;944
00031;2;999
00031;1;1000
00031;2;1020
00031;2;1022
00031;2;1036
00031;1;1040
00031;2;1084
00031;0;1093
00031;1;1187
00031;1;1224
00031;0;1232
00031;2;1233
00031;0;1234
00032;0;43
00032;0;127
00032;0;128
00032;0;181
00032;2;184
00032;0;189
00032;1;212
00032;0;226
00032;1;239
00032;0;315
00032;0;330
00032;0;331
00032;0;370
00032;1;389
00032;1;433
00032;0;467
00032;0;473
00032;0;489
00032;0;506
00032;1;586
00032;2;722
00032;0;735
00032;0;764
00032;0;882
00032;0;937
00032;0;999
00032;1;1040
00032;0;1093
00032;0;1220
00032;1;1234
00033;1;37
00033;0;65
00033;2;91
00033;2;94
00033;0;96
00033;2;210
00033;0;225
00033;0;297
00033;1;359
00033;2;370
00033;2;403
00033;0;404
00033;0;413
00033;2;465
00033;0;515
00033;2;612
00033;2;637
00033;2;638
00033;0;663
00033;0;719
00033;2;721
00033;0;731
00033;1;763
00033;0;764
00033;0;773
00033;0;793
00033;0;795
00033;2;797
00033;2;811
00033;2;818
00033;0;822
00033;2;825
00033;0;846
00033;0;882
00033;0;888
00033;0;889
00033;2;916
00033;2;920
00033;2;927
00033;1;978
00033;0;981
00033;1;995
00033;2;996
00033;0;1000
00033;0;1023
00033;2;1052
00033;0;1072
00033;0;1098
00033;2;1105
00033;2;1113
00033;1;1122
00033;1;1123
00033;2;1183
00033;2;1186
00033;1;1189
00033;0;1215
00033;2;1234
00034;2;37
00034;2;65
00034;1;76
00034;0;77
00034;0;94
00034;0;135
00034;0;225
00034;0;235
00034;0;236
00034;0;247
00034;2;261
00034;0;277
00034;0;297
00034;0;359
00034;2;403
00034;2;404
00034;2;465
00034;2;471
00034;0;552
00034;0;627
00034;2;637
00034;2;638
00034;2;721
00034;2;773
00034;2;795
00034;2;817
00034;0;818
00034;0;825
00034;2;846
00034;2;916
00034;0;933
00034;0;941
00034;0;944
00034;2;995
00034;0;1000
00034;0;1023
00034;1;1052
00034;0;1186
00034;0;1234
00035;0;32
00035;0;120
00035;2;210
00035;1;811
00035;0;825
00035;0;888
00035;1;913
00035;2;915
00035;0;920
00035;0;926
00035;0;948
00035;0;1105
00035;2;1109
00035;0;1119
00036;0;66
00036;0;325
00036;0;370
00036;1;403
00036;2;612
00036;0;721
00036;2;722
00036;0;724
00036;2;1052
00037;2;3
00037;0;4
00037;2;28
00037;2;33
00037;2;35
00037;2;38
00037;1;65
00037;1;71
00037;0;76
00037;0;116
00037;0;119
00037;2;120
00037;2;131
00037;0;148
00037;0;150
00037;2;158
00037;2;175
00037;2;203
00037;0;220
00037;2;225
00037;0;231
00037;0;233
00037;2;234
00037;1;238
00037;2;247
00037;2;280
00037;0;291
00037;0;294
00037;2;318
00037;1;319
00037;1;333
00037;1;334
00037;0;342
00037;0;345
00037;0;370
00037;2;378
00037;2;379
00037;2;380
00037;0;392
00037;0;403
00037;1;428
00037;0;433
00037;0;443
00037;2;465
00037;2;470
00037;2;476
00037;2;482
00037;2;483
00037;2;491
00037;2;492
00037;0;510
00037;0;512
00037;0;514
00037;0;596
00037;2;600
00037;1;627
00037;0;671
00037;2;697
00037;0;711
00037;2;712
00037;2;717
00037;0;721
00037;0;731
00037;1;774
00037;0;776
00037;2;815
00037;2;817
00037;0;818
00037;2;831
00037;2;835
00037;2;849
00037;1;866
00037;0;871
00037;2;877
00037;0;888
00037;2;930
00037;1;933
00037;0;941
00037;1;942
00037;0;944
00037;2;946
00037;2;991
00037;2;1008
00037;1;1011
00037;2;1014
00037;2;1028
00037;0;1080
00037;2;1126
00037;2;1128
00037;0;1130
00037;2;1131
00037;2;1133
00037;1;1135
00037;2;1174
00037;2;1176
00037;2;1178
00037;2;1182
00037;2;1234
00038;2;14
00038;0;76
00038;1;117
00038;0;142
00038;0;252
00038;2;360
00038;0;370
00038;2;390
00038;0;392
00038;0;444
00038;2;465
00038;0;503
00038;0;505
00038;0;510
00038;0;572
00038;0;573
00038;0;621
00038;0;622
00038;0;627
00038;2;634
00038;1;644
00038;1;646
00038;1;666
00038;0;702
00038;0;729
00038;0;776
00038;0;786
00038;0;856
00038;0;862
00038;0;866
00038;0;873
00038;0;881
00038;0;882
00038;0;888
00038;2;971
00038;0;990
00038;0;1001
00038;1;1024
00038;0;1027
00038;0;1029
00038;0;1059
00038;0;1066
00038;2;1068
00038;0;1072
00038;0;1075
00038;2;1130
00038;2;1136
00038;2;1140
00038;1;1146
00038;1;1148
00038;1;1160
00038;0;1230
00038;1;1234
00039;0;3
00039;0;67
00039;0;74
00039;0;76
00039;2;83
00039;0;84
00039;2;85
00039;0;102
00039;0;107
00039;0;108
00039;1;112
00039;0;135
00039;0;143
00039;2;216
00039;2;217
00039;2;218
00039;2;219
00039;2;221
00039;2;222
00039;2;225
00039;0;226
00039;0;230
00039;0;233
00039;2;235
00039;2;236
00039;0;244
00039;0;248
00039;2;249
00039;1;252
00039;1;254
00039;1;263
00039;0;276
00039;2;277
00039;2;289
00039;2;293
00039;0;297
00039;0;301
00039;2;304
00039;0;306
00039;1;307
00039;0;308
00039;2;338
00039;0;342
00039;0;343
00039;1;356
00039;0;360
00039;0;365
00039;0;366
00039;0;370
00039;0;392
00039;0;404
00039;2;407
00039;1;412
00039;2;420
00039;0;433
00039;0;453
00039;0;465
00039;2;470
00039;1;488
00039;0;490
00039;0;494
00039;0;503
00039;0;505
00039;1;508
00039;1;510
00039;0;529
00039;0;530
00039;0;532
00039;1;534
00039;0;535
00039;1;553
00039;2;560
00039;0;563
00039;1;564
00039;0;565
00039;0;566
00039;1;567
00039;0;568
00039;0;569
00039;1;570
00039;1;571
00039;0;572
00039;1;573
00039;0;576
00039;2;584
00039;0;586
00039;1;608
00039;0;610
00039;2;619
00039;0;621
00039;0;622
00039;0;627
00039;2;639
00039;1;645
00039;1;646
00039;0;647
00039;0;652
00039;2;654
00039;0;702
00039;1;716
00039;0;729
00039;0;738
00039;0;739
00039;0;740
00039;0;744
00039;0;746
00039;0;749
00039;0;776
00039;1;777
00039;1;786
00039;0;845
00039;0;849
00039;2;851
00039;0;862
00039;0;869
00039;2;873
00039;1;881
00039;0;882
00039;0;888
00039;0;889
00039;0;892
00039;0;902
00039;0;918
00039;0;942
00039;0;944
00039;0;949
00039;0;966
00039;2;971
00039;0;990
00039;1;1001
00039;0;1026
00039;1;1027
00039;1;1029
00039;0;1044
00039;0;1066
00039;0;1070
00039;0;1072
00039;0;1076
00039;0;1096
00039;1;1127
00039;0;1135
00039;0;1136
00039;2;1137
00039;2;1139
00039;0;1140
00039;2;1141
00039;1;1146
00039;1;1148
00039;0;1160
00039;0;1161
00039;0;1185
00039;0;1194
00039;0;1209
00039;0;1210
00039;0;1211
00039;0;1222
00039;0;1224
00039;1;1225
00039;0;1230
00039;1;1234
00039;0;1236
00039;0;1238
00040;0;2
00040;2;3
00040;2;4
00040;0;5
00040;0;9
00040;0;10
00040;0;17
00040;2;28
00040;0;32
00040;0;35
00040;0;76
00040;2;77
00040;1;95
00040;0;103
00040;0;105
00040;0;108
00040;1;109
00040;0;112
00040;0;115
00040;2;116
00040;1;119
00040;0;120
00040;0;132
00040;0;142
00040;0;144
00040;0;150
00040;0;151
00040;0;169
00040;0;173
00040;0;189
00040;0;198
00040;0;210
00040;2;225
00040;2;231
00040;2;233
00040;0;235
00040;0;236
00040;1;240
00040;0;248
00040;0;249
00040;0;252
00040;2;254
00040;0;261
00040;0;263
00040;2;277
00040;0;279
00040;0;289
00040;0;291
00040;1;293
00040;1;294
00040;0;297
00040;0;298
00040;0;304
00040;0;308
00040;0;333
00040;0;338
00040;1;344
00040;0;345
00040;0;351
00040;0;352
00040;1;370
00040;0;392
00040;2;404
00040;2;405
00040;0;407
00040;0;413
00040;0;417
00040;0;420
00040;0;434
00040;2;465
00040;0;478
00040;1;479
00040;0;508
00040;0;510
00040;0;515
00040;0;526
00040;0;529
00040;0;532
00040;0;535
00040;0;553
00040;1;560
00040;0;571
00040;0;572
00040;1;573
00040;0;576
00040;0;583
00040;0;613
00040;0;616
00040;0;619
00040;0;645
00040;0;646
00040;0;654
00040;0;673
00040;0;677
00040;0;731
00040;0;735
00040;0;763
00040;0;780
00040;2;785
00040;2;786
00040;2;815
00040;0;849
00040;0;851
00040;0;852
00040;0;869
00040;0;882
00040;0;888
00040;1;899
00040;0;931
00040;1;941
00040;0;942
00040;0;949
00040;1;954
00040;0;956
00040;0;959
00040;0;1000
00040;2;1008
00040;0;1024
00040;0;1027
00040;0;1029
00040;1;1052
00040;1;1080
00040;2;1100
00040;0;1105
00040;0;1109
00040;2;1117
00040;2;1124
00040;0;1126
00040;0;1127
00040;0;1128
00040;0;1130
00040;0;1131
00040;0;1132
00040;1;1133
00040;2;1135
00040;1;1137
00040;2;1139
00040;1;1141
00040;0;1146
00040;0;1148
00040;1;1160
00040;0;1161
00040;0;1192
00040;1;1193
00040;1;1230
00040;2;1234
00041;0;46
00041;0;296
00041;0;301
00041;0;322
00041;0;370
00041;0;392
00041;2;603
00041;0;941
00041;1;998
00041;2;1106
00041;2;1107
00041;2;1108
00041;2;1115
00041;0;1184
00041;2;1190
00042;0;5
00042;0;46
00042;2;57
00042;2;92
00042;0;135
00042;2;209
00042;1;245
00042;0;297
00042;1;301
00042;0;314
00042;2;317
00042;0;322
00042;2;337
00042;0;339
00042;1;370
00042;2;416
00042;0;434
00042;2;443
00042;0;489
00042;2;505
00042;0;509
00042;0;550
00042;2;585
00042;0;586
00042;0;601
00042;2;695
00042;0;719
00042;0;722
00042;0;724
